,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
2848,19.411374,1.0,229.92,0.0,229.92,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,254.145406,142.377232,0.5,12
5177,3720.59375,1.0,345.0,0.0,345.0,2529.303126,1.0,0.0,1.0,0.25,7,12,4500.0,977.281878,1592.232637,0.0,12
2172,447.941813,1.0,1907.2,0.0,1907.2,0.0,0.833333,0.0,0.833333,0.0,0,10,9500.0,2111.91778,170.572744,0.0,12
5533,30.395073,1.0,512.47,512.47,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7000.0,484.669932,192.908611,1.0,12
6702,1696.465412,1.0,219.07,219.07,0.0,1237.454039,0.333333,0.333333,0.0,0.583333,19,6,1800.0,1251.496096,976.101952,0.0,12
5187,37.615084,0.909091,229.5,0.0,229.5,0.0,0.5,0.0,0.416667,0.0,0,6,6000.0,229.256141,180.598109,0.444444,12
6733,1188.651458,1.0,822.96,156.0,666.96,0.0,0.5,0.166667,0.416667,0.0,0,18,1200.0,801.255647,686.634722,0.0,12
884,902.099225,0.818182,5080.85,4674.21,406.64,0.0,0.416667,0.333333,0.25,0.0,0,12,8000.0,177.879919,258.715978,0.0,12
4102,10116.70899,1.0,10166.69,3300.0,6866.69,0.0,0.833333,0.333333,0.666667,0.0,0,45,14000.0,2190.466875,4253.469898,0.0,12
2878,12323.84536,1.0,989.32,989.32,0.0,0.0,0.090909,0.090909,0.0,0.0,0,2,18000.0,9542.247486,2540.084696,0.0,11
4148,3447.674222,1.0,205.0,205.0,0.0,4548.057776,0.090909,0.090909,0.0,0.545455,7,1,10500.0,665.239171,817.844662,0.0,11
1688,4530.639094,1.0,0.0,0.0,0.0,3162.719581,0.0,0.0,0.0,0.25,5,0,8000.0,995.539176,1032.384353,0.0,12
4458,1714.896284,1.0,2000.0,2000.0,0.0,0.0,0.111111,0.111111,0.0,0.0,0,1,2000.0,448.300443,348.836471,0.0,9
4614,1154.381343,1.0,2421.85,468.65,1953.2,0.0,1.0,0.333333,1.0,0.0,0,69,9000.0,1421.087219,422.043729,0.0,12
1502,632.679411,1.0,1363.79,800.0,563.79,0.0,0.75,0.083333,0.666667,0.0,0,16,6000.0,2432.980638,219.177144,0.0,12
4785,687.378139,1.0,74.42,0.0,74.42,0.0,0.25,0.0,0.25,0.0,0,3,700.0,353.250281,492.588377,0.0,12
6895,1579.871382,1.0,3248.83,1933.93,1314.9,4232.135689,0.833333,0.583333,0.416667,0.166667,5,38,6500.0,3620.440772,493.696216,0.083333,12
5247,1414.47232,0.636364,331.52,331.52,0.0,57.691122,0.166667,0.166667,0.0,0.083333,1,2,7500.0,3321.020515,394.681018,0.0,12
2740,810.52348,0.727273,985.33,856.09,129.24,0.0,0.416667,0.166667,0.166667,0.0,0,10,5500.0,5964.049531,502.623056,0.090909,12
5654,880.259646,1.0,831.52,609.37,222.15,0.0,0.5,0.333333,0.416667,0.0,0,20,1200.0,975.402992,229.25572,0.0,12
5569,1602.425383,1.0,0.0,0.0,0.0,1770.282273,0.0,0.0,0.0,0.583333,17,0,2500.0,1434.566669,597.46081,0.0,12
2302,3304.423662,1.0,0.0,0.0,0.0,1270.287892,0.0,0.0,0.0,0.416667,9,0,7000.0,1026.076088,1478.485801,0.0,12
6757,57.077581,0.727273,698.44,95.14,603.3,0.0,0.666667,0.166667,0.5,0.0,0,16,6000.0,525.904806,116.075915,0.454545,12
740,1.691842,1.0,0.0,0.0,0.0,1148.820355,0.0,0.0,0.0,0.166667,3,0,1500.0,3.500505,8.56154,0.0,6
1398,27.164388,1.0,554.35,464.63,89.72,0.0,1.0,1.0,0.166667,0.0,0,16,3000.0,446.722613,145.306865,0.272727,12
1532,7170.30572,1.0,3109.28,2724.52,384.76,2560.207055,1.0,1.0,0.833333,0.5,7,48,9500.0,2055.673322,1961.161822,0.0,12
1518,2963.244696,0.777778,0.0,0.0,0.0,5713.47546,0.0,0.0,0.0,0.444444,15,0,7000.0,6310.629888,839.474205,0.142857,9
1683,3740.907731,1.0,0.0,0.0,0.0,116.632141,0.0,0.0,0.0,0.083333,1,0,4000.0,128.371777,27146.02678,0.0,12
3045,4373.439331,0.888889,1959.04,1570.04,389.0,5124.126997,0.666667,0.444444,0.555556,0.555556,6,12,7000.0,820.851704,1409.800552,0.0,9
1303,1426.870236,1.0,0.0,0.0,0.0,98.687898,0.0,0.0,0.0,0.083333,1,0,1500.0,324.97095,642.629679,0.0,12
5835,2569.237357,1.0,0.0,0.0,0.0,498.667849,0.0,0.0,0.0,0.25,14,0,2500.0,188.855192,16536.25119,0.0,12
6374,1552.687961,1.0,654.16,557.16,97.0,0.0,0.75,0.5,0.583333,0.0,0,21,1500.0,1041.793202,1676.396511,0.0,12
713,88.823762,1.0,291.65,0.0,291.65,0.0,0.75,0.0,0.666667,0.0,0,10,8000.0,341.378477,209.317582,0.083333,12
8181,1606.875936,1.0,1863.48,1302.0,561.48,0.0,0.666667,0.083333,0.666667,0.0,0,20,6500.0,698.65014,328.146908,0.0,12
6622,331.554753,1.0,146.22,146.22,0.0,2819.32368,0.5,0.5,0.0,0.916667,20,6,3000.0,4647.909943,1611.762121,0.916667,12
5331,886.65747,1.0,1440.48,1440.48,0.0,0.0,1.0,1.0,0.0,0.0,0,13,1800.0,309.644014,291.857209,0.0,12
7290,706.327578,0.888889,169.54,169.54,0.0,1406.735573,0.333333,0.333333,0.0,0.888889,14,3,2500.0,302.97678,142.597254,0.0,9
1024,2608.143732,1.0,207.68,207.68,0.0,189.874314,0.083333,0.083333,0.0,0.083333,1,1,3000.0,1243.840314,638.679282,0.0,12
4265,1733.972492,1.0,147.96,0.0,147.96,0.0,0.333333,0.0,0.333333,0.0,0,8,1900.0,525.331558,670.323657,0.0,12
2249,5815.890916,1.0,1245.33,1245.33,0.0,2697.454999,0.5,0.5,0.0,0.583333,10,18,7000.0,1287.745322,1531.220292,0.0,12
8073,248.626137,1.0,2635.25,2635.25,0.0,0.0,1.0,1.0,0.0,0.0,0,17,5000.0,2425.107514,193.086366,1.0,12
4033,4252.504676,1.0,2172.77,1491.73,681.04,0.0,1.0,1.0,1.0,0.0,0,45,11000.0,1425.671686,1217.875041,0.0,12
3734,2828.6637,1.0,3766.55,1165.85,2600.7,2157.382814,1.0,0.333333,0.916667,0.083333,2,43,10000.0,3100.096212,1107.07388,0.083333,12
5105,2544.378002,1.0,1108.54,1108.54,0.0,0.0,0.583333,0.583333,0.0,0.0,0,26,3000.0,524.24945,831.65824,0.0,12
8820,16.341186,0.666667,207.54,0.0,207.54,0.0,1.0,0.0,0.833333,0.0,0,6,1000.0,126.616901,27.446256,0.2,6
1472,27.694103,0.444444,474.96,0.0,474.96,0.0,0.333333,0.0,0.222222,0.0,0,7,7500.0,611.396021,81.113509,1.0,9
282,668.956687,1.0,224.2,148.12,76.08,0.0,0.583333,0.083333,0.416667,0.0,0,9,9500.0,568.336995,272.270427,0.0,12
8619,7.696813,0.090909,111.3,111.3,0.0,101.656544,0.083333,0.083333,0.0,0.083333,1,2,1200.0,0.0,864.2065423050828,0.0,12
1634,49.416158,0.727273,590.0,350.0,240.0,0.0,0.583333,0.083333,0.5,0.0,0,7,6000.0,836.812414,127.768461,1.0,12
6665,2.322666,0.181818,51.0,0.0,51.0,0.0,0.166667,0.0,0.083333,0.0,0,2,2900.0,0.0,864.2065423050828,0.0,12
8178,41.386295,0.363636,194.57,194.57,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2200.0,470.431305,169.999931,0.0,12
8817,17.448626,1.0,135.0,0.0,135.0,0.0,1.0,0.0,0.888889,0.0,0,9,1000.0,82.451537,132.188181,0.0,9
887,228.909884,1.0,2617.85,2426.43,191.42,0.0,1.0,0.916667,0.416667,0.0,0,35,1800.0,1774.318305,143.208454,0.7,12
6997,1088.505102,0.833333,84.99,84.99,0.0,1732.031229,0.166667,0.166667,0.0,0.666667,26,2,2000.0,82.0748,236.842295,0.0,6
8748,1042.816735,0.625,3950.0,3950.0,0.0,0.0,0.25,0.25,0.0,0.0,0,3,3150.0,6274.982741,303.462882,0.0,8
2215,5995.793488,1.0,0.0,0.0,0.0,3454.101774,0.0,0.0,0.0,0.416667,12,0,6500.0,1868.475426,1486.185877,0.0,12
743,1560.533094,0.777778,749.57,209.77,539.8,4096.907903,0.666667,0.222222,0.444444,0.666667,19,7,6000.0,617.46628,414.824247,0.0,9
6004,5481.094936,1.0,249.75,0.0,249.75,755.925861,0.25,0.0,0.166667,0.25,5,3,6000.0,1715.681945,1700.897107,0.0,12
8201,19.296018,1.0,210.0,0.0,210.0,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,296.473656,159.039023,0.5,12
5483,1643.215639,0.818182,0.0,0.0,0.0,2493.498137,0.0,0.0,0.0,0.363636,9,0,2500.0,414.951308,7164.306187,0.0,11
6768,559.730777,1.0,0.0,0.0,0.0,299.524277,0.0,0.0,0.0,0.083333,1,0,800.0,455.384879,198.175355,0.0,12
8701,10.318754,0.625,102.66,0.0,102.66,0.0,0.375,0.0,0.25,0.0,0,3,1500.0,190.431856,55.178854,0.0,8
8204,1990.482788,0.818182,55.0,55.0,0.0,5807.425413,0.090909,0.090909,0.0,0.272727,6,1,3500.0,3170.513718,759.519555,0.0,11
4321,907.680311,1.0,0.0,0.0,0.0,159.333467,0.0,0.0,0.0,0.083333,1,0,1200.0,1368.734996,229.658625,0.0,12
4576,2074.364799,1.0,1500.0,1500.0,0.0,0.0,0.416667,0.416667,0.0,0.0,0,15,2200.0,2200.280484,1436.215703,0.0,12
8702,60.816514,0.818182,900.0,0.0,900.0,0.0,0.75,0.0,0.75,0.0,0,9,1000.0,1208.785022,174.822875,0.777778,12
292,3605.714046,1.0,1779.0,1779.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,5000.0,856.05828,761.012234,0.0,12
3491,10092.23573,1.0,8710.72,6799.79,1910.93,0.0,1.0,0.75,0.833333,0.0,0,83,18000.0,4557.360839,2831.402596,0.0,12
8032,17.765052,0.636364,0.0,0.0,0.0,112.476618,0.0,0.0,0.0,0.083333,1,0,2200.0,200.061869,162.701658,0.25,12
2134,31.296491,1.0,84.0,0.0,84.0,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,91.67226,165.656889,0.0,12
5274,3425.949762,1.0,0.0,0.0,0.0,2601.134743,0.0,0.0,0.0,0.416667,7,0,4000.0,1114.681017,732.984374,0.0,12
2025,3006.594256,1.0,9362.96,5098.75,4264.21,0.0,1.0,0.916667,1.0,0.0,0,103,7500.0,7079.1781,645.403234,0.0,12
1764,144.346693,1.0,1976.32,859.79,1116.53,0.0,1.0,0.25,0.916667,0.0,0,28,4500.0,1828.116915,166.497851,0.583333,12
8867,440.613643,1.0,600.0,600.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1000.0,215.316424,137.846006,0.0,8
1616,502.653982,1.0,4748.5,1845.75,2902.75,0.0,1.0,1.0,1.0,0.0,0,82,12000.0,4517.823754,205.244926,0.583333,12
7,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12
2387,7985.621826,1.0,123.24,123.24,0.0,7949.596045,0.166667,0.166667,0.0,0.666667,32,2,14500.0,9438.180272,1961.413154,0.0,12
7314,13.440318,1.0,0.0,0.0,0.0,138.410148,0.0,0.0,0.0,0.125,1,0,1500.0,150.90008,18.958252,0.142857,8
7534,2929.582949,1.0,0.0,0.0,0.0,1319.276782,0.0,0.0,0.0,0.4,11,0,3000.0,1153.353618,3422.988223,0.0,10
1620,135.037323,1.0,270.0,0.0,270.0,0.0,0.272727,0.0,0.181818,0.0,0,3,3300.0,1760.310579,1471.250082,1.0,11
6592,207.099447,1.0,1764.0,0.0,1764.0,0.0,1.0,0.0,1.0,0.0,0,12,400.0,1667.797657,2090.378842,0.545455,12
8369,23.167831,1.0,375.0,0.0,375.0,0.0,1.0,0.0,1.0,0.0,0,12,2500.0,389.716275,178.84094,0.916667,12
3784,678.62589,1.0,59.24,0.0,59.24,272.436416,0.083333,0.0,0.083333,0.083333,1,1,1200.0,1669.187919,519.945056,0.0,12
5986,208.039434,1.0,684.2,518.87,165.33,0.0,0.833333,0.5,0.75,0.0,0,26,4000.0,1194.108316,158.022532,0.333333,12
7188,3015.597547,1.0,586.77,101.4,485.37,1726.922555,1.0,0.083333,1.0,0.25,7,31,3400.0,1472.730273,1090.525368,0.0,12
1746,2529.016337,1.0,1040.74,0.0,1040.74,0.0,1.0,0.0,1.0,0.0,0,28,2500.0,1746.018537,2996.008935,0.0,12
8349,1551.331695,1.0,349.92,0.0,349.92,0.0,1.0,0.0,1.0,0.0,0,12,1500.0,321.763599,7433.189695,0.0,12
5803,2882.431664,1.0,0.0,0.0,0.0,130.714887,0.0,0.0,0.0,0.166667,2,0,3000.0,608.839527,1240.347359,0.0,12
4065,2361.237383,1.0,0.0,0.0,0.0,4233.413107,0.0,0.0,0.0,0.416667,14,0,3000.0,3284.30732,996.558096,0.083333,12
7588,568.222966,1.0,140.03,140.03,0.0,0.0,0.083333,0.083333,0.0,0.0,0,4,1200.0,203.362743,203.599221,0.0,12
8232,404.316166,1.0,176.0,0.0,176.0,0.0,0.416667,0.0,0.416667,0.0,0,5,1000.0,157.644753,193.242502,0.0,12
4593,133.68751,1.0,1139.2,0.0,1139.2,0.0,1.0,0.0,0.875,0.0,0,15,3000.0,957.152839,116.355394,0.833333,8
7221,1153.961386,1.0,295.0,295.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1200.0,428.640942,964.205478,0.0,12
232,1255.901821,1.0,1038.81,1038.81,0.0,1092.634704,0.916667,0.916667,0.0,0.083333,1,21,5700.0,1215.454299,422.331098,0.0,12
7060,1512.574159,1.0,622.03,0.0,622.03,1344.577203,1.0,0.0,1.0,0.416667,6,17,1800.0,1064.435406,677.9132,0.0,12
3732,2817.59092,1.0,37.92,0.0,37.92,0.0,0.166667,0.0,0.166667,0.0,0,2,3000.0,755.313452,1167.316335,0.0,12
8150,2495.25505,0.909091,89.9,89.9,0.0,5290.393032,0.090909,0.090909,0.0,0.363636,13,1,6000.0,582.339752,640.013396,0.0,11
1026,1076.571029,1.0,45.65,45.65,0.0,48.730842,0.083333,0.083333,0.0,0.083333,1,1,1200.0,299.78995,374.377774,0.0,12
5491,40.074484,1.0,423.37,423.37,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7000.0,430.466572,187.954393,0.083333,12
8692,990.92233,0.888889,0.0,0.0,0.0,1134.263273,0.0,0.0,0.0,0.111111,1,0,1200.0,143.682692,268.910746,0.0,9
3462,1034.253025,1.0,144.0,0.0,144.0,365.613498,1.0,0.0,1.0,0.083333,3,12,1000.0,373.833477,658.796594,0.0,12
3715,3177.742619,1.0,153.72,153.72,0.0,0.0,0.416667,0.416667,0.0,0.0,0,5,3500.0,1078.780479,780.955903,0.0,12
1291,4609.210475,1.0,335.0,335.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6000.0,6344.618447,1785.222397,0.083333,12
3807,1819.405059,1.0,5671.86,2086.05,3585.81,0.0,1.0,0.416667,1.0,0.0,0,58,6000.0,834.969649,540.276017,0.0,12
8834,191.37693,1.0,510.0,0.0,780.0,0.0,0.555556,0.0,0.444444,0.0,0,7,1000.0,459.17484,128.231992,0.0,9
2305,1055.369866,0.545455,0.0,0.0,0.0,3776.644822,0.0,0.0,0.0,0.166667,2,0,6000.0,2924.470714,195.294122,0.0,12
7056,1752.637427,1.0,0.0,0.0,0.0,1770.461427,0.0,0.0,0.0,0.083333,1,0,3000.0,859.631936,396.466646,0.0,12
6646,1695.994646,1.0,478.99,478.99,0.0,855.646549,0.583333,0.583333,0.0,0.25,3,8,2000.0,2546.457101,758.281597,0.083333,12
7521,2291.684027,1.0,4983.93,4065.93,918.0,0.0,0.916667,0.75,0.583333,0.0,0,33,6500.0,1149.746347,624.917306,0.0,12
2925,188.701762,0.454545,900.45,900.45,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,1002.783773,74.503021,0.0,12
5976,44.694228,0.818182,788.99,235.9,553.09,0.0,0.75,0.083333,0.583333,0.0,0,15,5700.0,874.51882,141.103713,0.727273,12
4707,1475.396878,1.0,5055.77,2931.91,2123.86,0.0,1.0,0.333333,1.0,0.0,0,69,1900.0,4826.844372,1879.122243,0.0,12
7317,26.526741,0.875,135.31,0.0,135.31,0.0,0.875,0.0,0.75,0.0,0,7,1500.0,93.853979,112.781199,0.8,8
4349,1975.349966,1.0,1749.72,1300.48,449.24,3738.635191,0.75,0.333333,0.5,0.25,8,24,6000.0,6481.117394,734.982596,0.083333,12
1834,112.87035,0.818182,918.6,603.6,315.0,0.0,0.75,0.416667,0.583333,0.0,0,17,7500.0,1129.696171,177.258588,1.0,12
5536,200.574081,1.0,675.9,675.9,0.0,0.0,0.416667,0.416667,0.0,0.0,0,8,7500.0,753.502654,308.604961,0.083333,12
242,1272.927288,1.0,5350.19,4783.34,566.85,0.0,1.0,1.0,0.916667,0.0,0,101,8000.0,5825.602115,318.305326,0.166667,12
2809,165.192464,1.0,206.32,0.0,206.32,0.0,0.833333,0.0,0.833333,0.0,0,10,3000.0,271.234786,162.988745,0.0,12
7745,2.571837,0.1,99.0,0.0,99.0,0.0,0.2,0.0,0.2,0.0,0,2,2500.0,45.168124,864.2065423050828,0.0,10
1403,3304.829014,1.0,2577.7,2577.7,0.0,0.0,0.583333,0.583333,0.0,0.0,0,23,5000.0,1411.392046,770.484199,0.0,12
4332,3.005343,0.333333,0.0,0.0,0.0,265.334594,0.0,0.0,0.0,0.111111,1,0,1200.0,1233.178997,1.334075,0.0,9
1967,78.090426,1.0,243.48,0.0,243.48,0.0,1.0,0.0,1.0,0.0,0,12,1500.0,152.754759,157.90404,0.083333,12
2453,1487.657507,1.0,4115.98,3975.98,140.0,0.0,0.75,0.666667,0.25,0.0,0,31,5000.0,3922.394684,474.667356,0.083333,12
7085,969.139152,1.0,269.34,78.0,191.34,78.31266,0.666667,0.083333,0.583333,0.083333,1,11,2000.0,641.186755,383.080045,0.0,12
8536,19.25682,0.636364,185.02,0.0,185.02,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,233.025663,80.115991,0.3,12
3131,2852.354665,1.0,424.84,424.84,0.0,0.0,0.416667,0.416667,0.0,0.0,0,6,3000.0,725.815797,833.636185,0.0,12
8663,1016.826034,0.833333,0.0,0.0,0.0,1364.852957,0.0,0.0,0.0,0.333333,5,0,1500.0,139.841142,171.458084,0.0,6
4621,59.264067,0.909091,203.08,0.0,203.08,956.776745,0.666667,0.0,0.666667,0.166667,2,8,2000.0,1309.186831,204.315088,0.272727,12
1125,2391.843543,1.0,3279.57,777.63,2501.94,0.0,1.0,0.583333,0.916667,0.0,0,119,5000.0,1226.566229,547.949563,0.0,12
7732,1845.623354,1.0,480.9,399.62,81.28,1898.921039,0.5,0.166667,0.333333,0.5,27,9,3000.0,1351.296989,881.446699,0.0,12
4064,1325.445684,0.818182,0.0,0.0,0.0,1895.470431,0.0,0.0,0.0,0.083333,1,0,4500.0,187.108587,566.078539,0.0,12
2166,1649.276603,1.0,0.0,0.0,0.0,253.554601,0.0,0.0,0.0,0.583333,8,0,1800.0,574.233323,788.721609,0.0,12
6934,1060.345397,1.0,0.0,0.0,0.0,119.746155,0.0,0.0,0.0,0.25,5,0,1200.0,263.793622,422.134701,0.0,12
1573,1033.394656,1.0,262.44,0.0,262.44,888.915071,0.666667,0.0,0.666667,0.166667,4,8,2000.0,569.731828,541.208044,0.0,12
3647,2374.665105,1.0,339.82,339.82,0.0,1434.174341,0.166667,0.166667,0.0,0.333333,4,3,6000.0,622.389567,604.704131,0.0,12
233,2229.857287,1.0,45.65,45.65,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2500.0,542.7463,628.211031,0.0,12
6793,14.480094,0.571429,134.6,0.0,134.6,0.0,0.571429,0.0,0.428571,0.0,0,4,3000.0,155.845232,102.333285,1.0,7
2732,259.15982,1.0,1971.9,1580.98,390.92,19.395458,0.833333,0.5,0.5,0.083333,1,20,1800.0,2170.921218,167.050694,0.166667,12
2354,3778.609797,1.0,878.29,631.27,247.02,0.0,0.583333,0.5,0.25,0.0,0,13,8500.0,883.744982,858.064557,0.0,12
1477,1499.19943,1.0,3245.23,2870.33,374.9,0.0,1.0,1.0,0.833333,0.0,0,51,8000.0,2961.631164,373.675969,0.0,12
2123,1167.863521,1.0,94.7,94.7,0.0,187.817003,0.166667,0.166667,0.0,0.416667,5,2,1200.0,350.850434,284.605261,0.0,12
7358,367.033521,1.0,567.75,567.75,0.0,0.0,0.666667,0.666667,0.0,0.0,0,8,600.0,484.20499,210.03677,0.0,12
6789,424.994385,0.375,1200.0,1200.0,0.0,0.0,0.125,0.125,0.0,0.0,0,1,1200.0,57.266292,56.72021,0.0,8
1893,2205.471982,1.0,3278.42,1640.05,1638.37,0.0,1.0,0.666667,1.0,0.0,0,147,6000.0,2726.198575,966.350823,0.0,12
8575,1231.092907,1.0,250.0,250.0,0.0,782.610563,0.083333,0.083333,0.0,0.25,5,1,1800.0,1116.543176,409.577742,0.0,12
3800,3515.499451,1.0,2864.32,1215.93,1648.39,2880.208755,1.0,0.583333,1.0,0.416667,40,91,5500.0,3362.139057,1988.153764,0.0,12
2209,28.924276,1.0,324.6,0.0,324.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,320.218246,174.11997,0.833333,12
1711,193.565763,1.0,1821.52,0.0,1821.52,0.0,1.0,0.0,1.0,0.0,0,29,3000.0,1543.210017,183.380543,0.5,12
5095,225.282024,1.0,545.68,0.0,545.68,0.0,1.0,0.0,1.0,0.0,0,14,6500.0,1097.963345,176.797021,0.083333,12
4229,213.205306,0.818182,2536.27,370.5,2165.77,0.0,0.833333,0.083333,0.75,0.0,0,17,6000.0,2298.104409,154.476891,0.666667,12
7625,16.976117,0.454545,424.99,0.0,424.99,0.0,0.583333,0.0,0.5,0.0,0,7,5000.0,603.395705,77.553281,0.5,12
2582,45.295495,1.0,451.01,0.0,451.01,0.0,1.0,0.0,1.0,0.0,0,78,7500.0,481.372024,172.53607,0.666667,12
3749,5825.470945,1.0,633.11,0.0,633.11,1249.383941,0.25,0.0,0.166667,0.666667,10,32,6700.0,1697.035816,1817.190813,0.0,12
1225,3437.033859,1.0,1858.7,1858.7,0.0,3569.688273,0.583333,0.583333,0.0,0.833333,26,18,9000.0,6062.441603,1092.303319,0.0,12
1184,214.610294,1.0,496.0,0.0,496.0,0.0,1.0,0.0,0.833333,0.0,0,12,2500.0,739.051121,187.9353,0.083333,12
6210,1969.414463,1.0,1322.06,301.52,1020.54,849.366964,1.0,0.333333,1.0,0.416667,5,27,5500.0,1764.32763,447.535776,0.0,12
4514,7558.010921,1.0,365.26,188.56,176.7,4738.30754,0.5,0.083333,0.416667,0.666667,25,9,8000.0,3311.192387,4903.859993,0.0,12
7041,1806.731926,1.0,229.0,229.0,0.0,3766.751558,0.083333,0.083333,0.0,0.25,7,1,5000.0,4637.083029,632.635869,0.083333,12
3111,147.193451,1.0,2863.92,0.0,2863.92,0.0,1.0,0.0,1.0,0.0,0,12,2500.0,2589.303082,171.139818,1.0,12
2563,1026.201421,1.0,0.0,0.0,0.0,244.88819,0.0,0.0,0.0,0.166667,2,0,1200.0,440.519737,320.383825,0.0,12
7022,74.195316,1.0,796.56,0.0,796.56,0.0,1.0,0.0,1.0,0.0,0,12,2500.0,772.022619,176.637343,0.5,12
7017,49.401973,0.727273,373.34,310.0,63.34,0.0,0.333333,0.25,0.083333,0.0,0,4,5000.0,584.836547,153.35767,0.571429,12
1831,4402.354047,1.0,0.0,0.0,0.0,2117.809244,0.0,0.0,0.0,0.25,10,0,5000.0,1030.120113,1162.586801,0.0,12
5592,2800.848284,1.0,0.0,0.0,0.0,230.345891,0.0,0.0,0.0,0.166667,2,0,3000.0,864.931529,1796.44717,0.0,12
6760,1842.11833,1.0,83.31,0.0,83.31,0.0,0.083333,0.0,0.083333,0.0,0,3,2000.0,603.296946,1018.247383,0.0,12
4992,2811.486863,1.0,692.52,692.52,0.0,637.084199,1.0,1.0,0.0,0.25,5,13,3000.0,1848.537683,2532.728316,0.0,12
918,0.867528,0.272727,26.62,0.0,26.62,0.0,0.333333,0.0,0.333333,0.0,0,4,4500.0,18.336805,8.745383,0.090909,12
998,2928.756699,1.0,160.92,0.0,160.92,319.931964,1.0,0.0,1.0,0.333333,5,12,3000.0,1142.847203,1098.479834,0.0,12
6642,1083.379171,1.0,9.9,0.0,9.9,0.0,0.142857,0.0,0.142857,0.0,0,1,1900.0,186.923852,7243.733403,0.0,7
144,2163.678757,1.0,5779.36,3436.53,2342.83,0.0,1.0,1.0,1.0,0.0,0,97,6500.0,4416.41268,546.439139,0.0,12
843,4438.521324,1.0,591.84,109.16,482.68,564.365429,0.636364,0.181818,0.454545,0.272727,3,11,17000.0,5552.601399,1094.486286,0.0,11
